@relation Andromeda_w5_l5_o1-weka.filters.unsupervised.attribute.Add-NTarget_2-Clast-weka.filters.unsupervised.attribute.Add-NTarget_3-Clast-weka.filters.unsupervised.attribute.Add-NTarget_4-Clast-weka.filters.unsupervised.attribute.Add-NTarget_5-Clast-weka.filters.unsupervised.attribute.Add-NTarget_6-Clast

@attribute Window0-Att0 numeric
@attribute Window0-Att1 numeric
@attribute Window0-Att2 numeric
@attribute Window0-Att3 numeric
@attribute Window0-Att4 numeric
@attribute Window0-Att5 numeric
@attribute Window1-Att0 numeric
@attribute Window1-Att1 numeric
@attribute Window1-Att2 numeric
@attribute Window1-Att3 numeric
@attribute Window1-Att4 numeric
@attribute Window1-Att5 numeric
@attribute Window2-Att0 numeric
@attribute Window2-Att1 numeric
@attribute Window2-Att2 numeric
@attribute Window2-Att3 numeric
@attribute Window2-Att4 numeric
@attribute Window2-Att5 numeric
@attribute Window3-Att0 numeric
@attribute Window3-Att1 numeric
@attribute Window3-Att2 numeric
@attribute Window3-Att3 numeric
@attribute Window3-Att4 numeric
@attribute Window3-Att5 numeric
@attribute Window4-Att0 numeric
@attribute Window4-Att1 numeric
@attribute Window4-Att2 numeric
@attribute Window4-Att3 numeric
@attribute Window4-Att4 numeric
@attribute Window4-Att5 numeric
@attribute Target numeric
@attribute Target_2 numeric
@attribute Target_3 numeric
@attribute Target_4 numeric
@attribute Target_5 numeric
@attribute Target_6 numeric

@data
11.84,5.08,49,32.2,16.5,1.4,12.01,5.09,48,32,14.8,1.25,12.89,5.1,48,31.9,8.6,0.71,13.95,5.11,47,30.8,20.2,1.64,13.75,5.13,45,29.7,38.5,3.27,15.17,5.14,46,30.4,46.8,3.74
12.01,5.09,48,32,14.8,1.25,12.89,5.1,48,31.9,8.6,0.71,13.95,5.11,47,30.8,20.2,1.64,13.75,5.13,45,29.7,38.5,3.27,13.34,5.13,46,30.1,42.6,3.55,14.85,5.11,47,31.2,46.8,3.78
12.89,5.1,48,31.9,8.6,0.71,13.95,5.11,47,30.8,20.2,1.64,13.75,5.13,45,29.7,38.5,3.27,13.34,5.13,46,30.1,42.6,3.55,13.63,5.11,48,31.3,46,3.79,14.72,5.1,48,31.7,42.7,3.4
13.95,5.11,47,30.8,20.2,1.64,13.75,5.13,45,29.7,38.5,3.27,13.34,5.13,46,30.1,42.6,3.55,13.63,5.11,48,31.3,46,3.79,14.27,5.12,47,31.1,46.7,3.79,15.28,5.11,48,32,42.5,3.38
13.75,5.13,45,29.7,38.5,3.27,13.34,5.13,46,30.1,42.6,3.55,13.63,5.11,48,31.3,46,3.79,14.27,5.12,47,31.1,46.7,3.79,14.19,5.15,45,29.7,45.1,3.75,16.15,5.13,47,30.8,42.1,3.27
13.34,5.13,46,30.1,42.6,3.55,13.63,5.11,48,31.3,46,3.79,14.27,5.12,47,31.1,46.7,3.79,14.19,5.15,45,29.7,45.1,3.75,14.75,5.15,45,29.7,51.6,4.23,17.29,5.13,47,30.6,48.1,3.71
13.63,5.11,48,31.3,46,3.79,14.27,5.12,47,31.1,46.7,3.79,14.19,5.15,45,29.7,45.1,3.75,14.75,5.15,45,29.7,51.6,4.23,15.17,5.14,46,30.4,46.8,3.74,18.02,5.15,46,29.9,75.3,5.59
14.27,5.12,47,31.1,46.7,3.79,14.19,5.15,45,29.7,45.1,3.75,14.75,5.15,45,29.7,51.6,4.23,15.17,5.14,46,30.4,46.8,3.74,14.85,5.11,47,31.2,46.8,3.78,18.73,5.15,46,30.3,72.5,5.31
14.19,5.15,45,29.7,45.1,3.75,14.75,5.15,45,29.7,51.6,4.23,15.17,5.14,46,30.4,46.8,3.74,14.85,5.11,47,31.2,46.8,3.78,14.72,5.1,48,31.7,42.7,3.4,19.57,5.14,47,30.8,61.9,4.54
14.75,5.15,45,29.7,51.6,4.23,15.17,5.14,46,30.4,46.8,3.74,14.85,5.11,47,31.2,46.8,3.78,14.72,5.1,48,31.7,42.7,3.4,15.28,5.11,48,32,42.5,3.38,20.96,6.65,48,31.5,119.2,8.27
15.17,5.14,46,30.4,46.8,3.74,14.85,5.11,47,31.2,46.8,3.78,14.72,5.1,48,31.7,42.7,3.4,15.28,5.11,48,32,42.5,3.38,16.15,5.13,47,30.8,42.1,3.27,20.17,6.65,49,32.2,88.1,6.54
