% Electrical discharge machining, data 1, numeric
%
% For more info, see A. Karalic PhD

@relation edm1

@attribute ASM_A_MeanT numeric
@attribute ASD_A_SDevT numeric
@attribute BSM_B_MeanT numeric
@attribute BSD_B_SDevT numeric
@attribute CSM_C_MeanT numeric
@attribute CSD_C_SDevT numeric
@attribute ISM_I_MeanT numeric
@attribute ISD_I_SDevT numeric
@attribute ALM_A_MeanT numeric
@attribute ALD_A_SDevT numeric
@attribute BLM_B_MeanT numeric
@attribute BLD_B_SDevT numeric
@attribute CLM_C_MeanT numeric
@attribute CLD_C_SDevT numeric
@attribute ILM_I_MeanT numeric
@attribute ILD_I_SDevT numeric
@attribute DFlow numeric
@attribute DGap numeric

@data
-4.86,0.04,0.33,0.13,5.83,0.15,0.97,0.03,-4.85,0.15,0.27,0.16,5.67,0.36,1.07,0.39,0,1
-4.86,0.04,0.33,0.13,5.83,0.15,0.97,0.03,-4.85,0.15,0.27,0.16,5.67,0.36,1.07,0.39,0,1
-4.86,0.04,0.33,0.13,5.83,0.15,0.97,0.03,-4.85,0.15,0.27,0.16,5.67,0.36,1.07,0.39,0,1
-4.68,0.10,0.59,0.17,5.56,0.14,1.82,0.34,-4.75,0.13,0.43,0.19,5.73,0.21,1.38,0.41,1,0
-4.68,0.10,0.59,0.17,5.56,0.14,1.82,0.34,-4.75,0.13,0.43,0.19,5.73,0.21,1.38,0.41,1,0
-4.63,0.11,0.58,0.19,5.54,0.11,1.81,0.34,-4.73,0.14,0.42,0.19,5.72,0.20,1.41,0.40,1,0
-4.81,0.07,0.58,0.28,5.58,0.23,1.38,0.36,-4.74,0.11,0.50,0.22,5.66,0.19,1.52,0.38,0,1
-4.56,0.09,0.90,0.14,5.28,0.18,2.34,0.35,-4.62,0.11,0.75,0.23,5.45,0.23,2.06,0.40,0,0
-4.52,0.09,1.09,0.04,5.12,0.00,2.33,0.29,-4.57,0.16,1.07,0.10,5.14,0.06,2.40,0.42,0,0
-4.46,0.05,1.06,0.02,5.12,0.00,2.00,0.19,-4.54,0.15,1.07,0.09,5.14,0.06,2.38,0.42,-1,0
-4.46,0.05,1.06,0.02,5.12,0.00,2.00,0.19,-4.54,0.15,1.07,0.09,5.14,0.06,2.38,0.42,-1,0
-4.45,0.02,1.05,0.01,5.12,0.00,1.90,0.09,-4.53,0.15,1.08,0.07,5.12,0.01,2.38,0.40,-1,0
-4.43,0.03,1.03,0.03,5.12,0.00,1.84,0.10,-4.52,0.14,1.07,0.07,5.12,0.01,2.33,0.41,-1,0
-4.47,0.07,1.05,0.04,5.12,0.00,1.82,0.07,-4.51,0.14,1.07,0.07,5.12,0.01,2.28,0.40,-1,0
-4.57,0.08,1.11,0.03,5.18,0.08,2.30,0.44,-4.50,0.14,1.07,0.07,5.14,0.05,2.19,0.37,0,-1
-4.58,0.09,1.11,0.03,5.18,0.08,2.46,0.41,-4.50,0.14,1.07,0.07,5.14,0.05,2.20,0.38,0,-1
-4.60,0.05,1.11,0.02,5.12,0.00,2.36,0.16,-4.55,0.09,1.09,0.04,5.13,0.05,2.24,0.36,0,-1
-4.67,0.08,0.74,0.20,5.68,0.18,2.54,0.08,-4.62,0.09,0.89,0.31,5.44,0.37,2.53,0.21,1,0
-4.71,0.09,0.50,0.16,5.72,0.22,1.98,0.36,-4.64,0.11,0.73,0.31,5.61,0.33,2.38,0.36,1,0
-4.68,0.05,0.58,0.09,5.76,0.14,2.64,0.11,-4.67,0.13,0.65,0.26,5.65,0.25,2.28,0.47,0,1
