@relation 'JURA-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,7,9,10,11,5,6,8-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last'

@attribute Xloc numeric
@attribute Yloc numeric
@attribute Landuse=1 numeric
@attribute Landuse=2 numeric
@attribute Landuse=3 numeric
@attribute Landuse=4 numeric
@attribute Rock=1 numeric
@attribute Rock=2 numeric
@attribute Rock=3 numeric
@attribute Rock=4 numeric
@attribute Rock=5 numeric
@attribute Cr numeric
@attribute Ni numeric
@attribute Pb numeric
@attribute Zn numeric
@attribute Cd numeric
@attribute Co numeric
@attribute Cu numeric

@data
2.386,3.077,0,0,1,0,0,0,1,0,0,38.32,21.32,77.36,92.56,1.74,9.32,25.72
2.544,1.972,0,1,0,0,0,1,0,0,0,40.2,29.72,77.88,73.56,1.335,10,24.76
2.807,3.347,0,1,0,0,0,0,1,0,0,47,21.4,30.8,64.8,1.61,10.6,8.88
4.308,1.933,0,0,1,0,0,1,0,0,0,43.52,29.72,56.4,90,2.15,11.92,22.7
4.383,1.081,0,0,1,0,0,0,0,0,1,38.52,26.2,66.4,88.4,1.565,16.32,34.32
3.244,4.519,0,0,1,0,0,0,0,0,1,40.4,22.04,72.4,75.2,1.145,3.508,31.28
3.925,3.785,0,0,1,0,0,0,0,0,1,30.52,21.76,60,72.4,0.894,15.08,27.44
2.116,3.498,0,0,1,0,1,0,0,0,0,25.4,9.72,141,72.08,0.525,4.2,66.12
1.842,0.989,0,0,1,0,1,0,0,0,0,27.96,11.32,52.4,56.4,0.24,4.52,22.32
1.709,1.843,0,0,1,0,0,0,1,0,0,33.32,16.88,41.6,75.6,0.625,12.08,18.72
3.8,4.578,0,0,1,0,1,0,0,0,0,46,21.64,46,143.2,3.873,9.84,22.24
2.699,1.199,1,0,0,0,1,0,0,0,0,40.8,15.72,56.4,66.8,1.425,7.56,8.76
3.033,4.384,0,0,1,0,0,0,0,0,1,19.24,7.08,38.36,37.88,0.455,2.368,21.36
4.232,1.588,1,0,0,0,0,1,0,0,0,28.32,17.4,52.8,47.6,1.025,8.84,5.88
4.75,1.369,0,0,1,0,0,1,0,0,0,35.6,23.76,32.92,70.8,0.775,11.96,17.6
2.341,4.135,0,0,1,0,1,0,0,0,0,31,10.8,42,46.8,0.62,5.32,18.52
2.827,3.667,0,0,1,0,0,0,0,0,1,20.52,6.68,21.48,25.2,0.4,4.68,3.96
3.043,4.692,0,0,1,0,1,0,0,0,0,25.2,11.32,29.92,31.32,0.625,3.536,8.24
1.687,1.174,0,0,1,0,1,0,0,0,0,18.4,6.64,46.8,39.56,0.355,3.64,21.56
2.235,2.386,0,0,1,0,0,0,0,0,1,40.56,25.08,88.68,114.28,1.585,12.44,40.88
3.122,1.695,0,0,1,0,0,1,0,0,0,44,34.72,72.88,120.28,1.885,12.92,35.92
2.219,2.774,0,1,0,0,0,1,0,0,0,32.48,31.52,56.52,71.76,1.3,13.04,8.8
3.185,2.092,0,0,1,0,0,1,0,0,0,35.72,35,43.68,90.68,1.575,11.2,22.12
3.514,5.119,0,1,0,0,1,0,0,0,0,52,21.76,33.36,145.6,4.191,9.28,15.48
4.459,2.624,1,0,0,0,0,1,0,0,0,19,15.84,34.64,82.8,1.485,6.84,11.16
4.339,1.473,0,0,1,0,0,0,0,0,1,32.72,18.6,64.8,86,0.915,10.8,39.8
4.92,1.417,0,0,1,0,0,1,0,0,0,30.28,21.96,39.52,66.4,0.705,8.56,15.76
