@relation 'SeeClickFix-weka.filters.unsupervised.attribute.Reorder-R10,9,11,2,3,4,5,8,6,7-weka.filters.unsupervised.attribute.Remove-R6,7-weka.filters.unsupervised.attribute.Add-NdaysUntilLastIssue-Cfirst-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Add-TNOM-Ncity-LOakland,Chicago,NH,Richmond-C6-weka.filters.unsupervised.attribute.Add-NdistanceFromCenter-C7-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R3,7,8,10,11,12,13,14,15,16,17,18,19,20,22,24,26,27,28,29,31,32,34,35,36,37,38,39,42,43,45,46,47,48,49,52-weka.filters.unsupervised.instance.Resample-S1-Z10.0-no-replacement-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Resample-S1-Z10.0-no-replacement'

@attribute daysUntilLastIssue numeric
@attribute source=city_initiated numeric
@attribute source=android numeric
@attribute source=remote_api_created numeric
@attribute source=new_map_widget numeric
@attribute source=iphone numeric
@attribute tag_type=tree numeric
@attribute tag_type=street_light numeric
@attribute tag_type=graffiti numeric
@attribute tag_type=pothole numeric
@attribute tag_type=signs numeric
@attribute tag_type=overgrowth numeric
@attribute tag_type=traffic numeric
@attribute tag_type=trash numeric
@attribute tag_type=blighted_property numeric
@attribute tag_type=sidewalk numeric
@attribute latitude numeric
@attribute longitude numeric
@attribute city=Oakland numeric
@attribute city=Chicago numeric
@attribute city=NH numeric
@attribute city=Richmond numeric
@attribute distanceFromCenter numeric
@attribute num_views numeric
@attribute num_votes numeric
@attribute num_comments numeric

@data
432,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,37.564581,-77.421268,0,0,0,1,0.051774,20,2,0
269,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.919565,-87.69189,0,1,0,0,0.216354,0,1,0
404,?,?,?,?,?,1,0,0,0,0,0,0,0,0,0,37.512369,-77.396197,0,0,0,1,0.198224,34,2,0
357,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.691724,-87.68765,0,1,0,0,0.728834,0,1,0
305,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.750569,-87.648889,0,1,0,0,0.495882,0,1,0
326,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.854825,-87.68204,0,1,0,0,0.178736,2,1,0
331,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.962082,-87.78197,0,1,0,0,0.509899,0,1,0
391,?,?,?,?,?,0,0,0,0,0,0,0,1,0,0,37.517272,-77.490273,0,0,0,1,0.216411,11,2,0
270,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.904117,-87.750914,0,1,0,0,0.341888,0,1,0
511,?,?,?,?,?,1,0,0,0,0,0,0,0,0,0,37.551308,-77.556196,0,0,0,1,0.356023,12,2,0
265,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.954049,-87.686042,0,1,0,0,0.303232,0,1,0
368,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,37.840822,-122.222483,1,0,0,0,0.159803,25,2,1
297,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.725985,-87.585414,0,1,0,0,0.597178,0,1,0
287,?,?,?,?,?,0,0,0,0,0,0,0,1,0,0,37.576831,-77.423963,0,0,0,1,0.083919,18,2,0
321,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.758058,-87.635702,0,1,0,0,0.465657,0,1,0
330,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.851145,-87.683833,0,1,0,0,0.191021,0,1,0
307,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.718951,-87.56466,0,1,0,0,0.636567,0,1,0
312,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.80075,-87.708945,0,1,0,0,0.376499,1,1,0
284,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.799334,-87.684178,0,1,0,0,0.346267,0,1,0
470,?,?,?,?,?,0,1,0,0,0,0,0,0,0,0,37.477487,-77.506181,0,0,0,1,0.358155,9,2,0
313,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.978411,-87.832729,0,1,0,0,0.660029,2,1,0
329,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.954334,-87.790033,0,1,0,0,0.513092,0,1,0
404,0,0,0,1,0,?,?,?,?,?,?,?,?,?,?,37.569362,-77.41995,0,0,0,1,0.066724,38,2,0
545,?,?,?,?,?,0,0,0,0,0,0,0,1,0,0,37.550468,-77.463908,0,0,0,1,0.086876,14,3,0
261,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.992319,-87.709176,0,1,0,0,0.458103,1,1,0
298,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.737482,-87.543203,0,1,0,0,0.592476,0,2,0
267,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,37.822502,-122.270467,1,0,0,0,0.005229,43,6,0
306,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.965788,-87.685669,0,1,0,0,0.340937,2,1,0
285,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.918227,-87.645311,0,1,0,0,0.13496,1,1,0
310,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.774764,-87.610673,0,1,0,0,0.40703,2,1,0
316,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.949515,-87.665296,0,1,0,0,0.262823,1,1,0
447,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,37.584489,-77.522521,0,0,0,1,0.277453,7,2,0
288,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.966763,-87.691422,0,1,0,0,0.35152,0,1,0
473,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,37.544649,-77.411102,0,0,0,1,0.082338,15,2,0
271,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,37.777602,-122.225742,1,0,0,0,0.209068,0,1,0
306,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.854306,-87.732326,0,1,0,0,0.302363,1,1,0
419,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,41.311944,-72.942342,0,0,1,0,0.041491,73,2,0
480,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,37.507357,-77.504511,0,0,0,1,0.272114,21,2,0
315,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.939513,-87.683201,0,1,0,0,0.253717,0,1,0
332,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.748126,-87.654888,0,1,0,0,0.50686,0,1,0
328,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,41.7015,-87.698827,0,1,0,0,0.701243,8,2,0
